,在长安是你夸大话，
,为什么事到如今耍奸滑。
,左手拉住了李左车，
,右手再把栾布拉。
,三人同把那鬼门关上踏，
,（啊）生死二字（喏）且由他。
lsxp-CiShiJian-HuaiHeYing-2.xml,此时间不可闹笑话，
,胡言乱语怎瞒（呐）咱！
,在长安是你夸大话，
,为什么事到如今耍奸滑？
,左手拉住了李左车，
,右手再把栾布拉，
,三人同把那鬼门关上爬，
,生死二字（喏）且由他！
lsxp-DaHeYi-SiLangTanMu.xml,Part 1
,大喝一声（哪）如雷震，
,杨家将令鬼神惊。
,迈步且把宝帐（呀）进，
,上面（哪）坐的同胞人。
,弟兄们分别十五春，
,怎知今日回宋营。
,将身站在了阶前等，
,问我一言答一声。
,家住后山磁州郡，
,火堪寨上有家门。
,我父令公官极品，
,我母佘氏老太君。
,十五年前沙滩会，
,失落番邦被贼擒。
,六弟下位把兄认，
,我是你四哥回宋营。
,弟兄对坐叙寒温。
,Part 2
,本帅帐中用目睁，
,见一番汉帐中行。
,龙行虎步非凡等，
,灯光之下看不真。
,本帅开言把他问，
,你是番邦什么人？
,家住哪州并哪郡？
,要见本帅为何情？
,听罢言来才知情，
,原来四哥回宋营。
,众将与爷忙掩（哪）门，
,自己骨肉认不清。
,走上前来忙松捆，
lsxp-HenPingWang-WenZhaoGuan.xml,恨平王无道乱楚宫，
,（兀）父纳子（呃）妻礼难容，
,我的（呀）父谏奏反把命（哪）送，
,满门的家着血染红。
lsxp-JiangShenEr-SanJiaDian.xml,将身儿来至在大街口，
,尊一声过往的宾朋听从头：一不是响马与贼寇，
,二不是歹人（呐）把城偷。
,杨林与我来争斗，
,因此上发配到登州。
,舍不得太爷的恩情厚，
,舍不得衙役们众班头。
,实难舍街坊四邻与我的好朋友，
,舍不得老娘（呃）白了头。
,娘生儿连心肉，
,儿行千里母担忧。
,儿想娘亲难叩首，
,娘想儿来泪双流。
,眼见得红日坠落在西山后，
,叫一声解差把店役。
lsxp-JianMaSu-ZhanMaSu.xml,见马谡（唩）跪帐下，
,不由老夫咬钢牙，
,大胆不听我的话失去了街亭差不差。
lsxp-LiangGuoJiao-ShiJieTing-1.xml,两国交（哇）锋龙虎斗，
,各为其主统貔貅，
,管待三（哪）军要宽厚，
,赏罚中公（呃）平莫要自由。
,此一番领兵去镇守，
